LP,Address,Description,TLAND balance,TLAND staked,Advisors Vesting,Private Vesting,Subme Vesting,STT Vesting,TLAND SUM,LP SUM (balance + staked),TLAND TOTAL,,LP MULTIPLIER
9329,terra1ytl720fxgq4r85ljjp4kz7hq7gn2a66u7m4c45,,0,3832248331,0,0,0,694650019,4526898350,0,4526898350,,
9330,terra1ytljrdfwjll95p8tg25xmwzmpu4dvgfv3z67ds,,0,0,0,0,0,0,0,0,0,,
9331,terra1ytpcuaycrscs8qnr897ykpgjv05a5p00pjv7w2,,0,0,0,0,0,0,0,0,0,,
9332,terra1ytxpfsmkt5ug0qzmsch4xgx2ywdrch4qjwhz5y,,0,0,0,0,0,0,0,0,0,,
9333,terra1yu0rnjj9xk3emrlsu2d502zpwklmlpwfa0z3w5,,7153532,0,0,0,0,0,7153532,0,7153532,,
9334,terra1yu6ns62rhfgzkyxkduyeew7lu8hxvr37kse0ye,,0,824833818,0,0,0,1702,824835520,0,824835520,,
9335,terra1yuapweecxtutyusv4aplffgpky84wgz7y0pk3d,,69825843,1800000000,0,0,0,0,1869825843,0,1869825843,,
9336,terra1yuaqxzp9hcwdqqs095wz3vy45fas2es60faag3,,0,0,0,0,0,513165589,513165589,0,513165589,,
9337,terra1yuelmwwqd580nva6uzrjthr6syq4rplqz9xmdz,,20,690540655,0,0,0,0,690540675,0,690540675,,
9338,terra1yufvxf2z04357g4fsm5r650rslskm3runp02y0,,0,0,0,0,0,920040302,920040302,0,920040302,,
9339,terra1yufx3z4jg2j2xnckhqn28p20gwu27x3hceytgf,,83475296,0,0,0,0,0,83475296,0,83475296,,
9340,terra1yuj55pfgpmhwnz2w0agsen46jg2mhpudv4pxe5,,0,86510,0,0,0,0,86510,288785449,1222412055,,
9341,terra1yuk0hlprhrlacrlfh6j5fjc3apgav9kd0zshps,,0,0,0,0,0,0,0,0,0,,
9342,terra1yuqm6spz6p58nnn54npe5k7ytaw09v57p0ya2m,,1928210,0,0,2240920000,0,4913582,2247761792,0,2247761792,,
9343,terra1yuqtz4sxedpw4n9undn30g5gwxvh7jy6cmajrq,,13149720,3090361137,0,0,0,0,3103510857,11851437415,53266407752,,
9344,terra1yuwayqr2axvddn3ruv28v3frfm7qhxgjh4r70r,,0,242459347,0,0,0,0,242459347,0,242459347,,
9345,terra1yuxnzn05vegsvgqkwtp320dr7uc5hp5t2hcnyk,,0,"3140,000001",0,0,0,0,3140,0,3140,,
9346,terra1yv3mnrn6xw2e7pd7678asx935uh6usqgy9g96l,,98528451,0,0,0,0,0,98528451,0,98528451,,
9347,terra1yv7k3lys70jys0a5a9pn99x5nsfmkvvzrsmgfy,,0,0,0,0,0,0,0,0,0,,
9348,terra1yv9prt8jm3ddryc8yp26c3jsfx8wfdmc25fnmy,,0,0,0,0,0,0,0,0,0,,
9349,terra1yv9rvp2f2kfsymmtcmpwnfv2y5htg0ne49azx4,,0,0,0,0,21288400,2502,21290902,0,21290902,,
9350,terra1yvakhfnjf9hagyrjyvfvjr7fqtmf7yqslpaqpy,,9650,0,0,0,0,0,9650,0,9650,,
9351,terra1yvg9eh0zm2k60ytmtmkn4g3nrxpwtfcvsd89eg,,0,0,0,0,808959200,0,808959200,0,808959200,,
9352,terra1yvl94rl87scmwhvenpj4pvd5ghzx5mday0fp05,,433039069,0,0,0,0,0,433039069,0,433039069,,
9353,terra1yvm9p53h8uar4x67mhvgg23e25sdzxjt75q7aj,,0,0,0,0,0,0,0,0,0,,
9354,terra1yvms88pevf4tdmfqhtf5l3x00fd3w7wdqkxrwh,,0,2651137364,0,0,0,0,2651137364,0,2651137364,,
9355,terra1yvpcflf4kfq3pl5z72ytzex5nn48ugq5jpzq70,,270,250000000,0,0,0,0,250000270,0,250000270,,
9356,terra1yvq258tsuvcfzxvg930qzqzgpmn6mcnglxyhnj,,0,0,0,0,0,13640,13640,0,13640,,
9357,terra1yw2jk8zy8e6qk3yfynewhvmdv0klcpsnn3jvsx,,6670703,0,0,0,0,0,6670703,0,6670703,,
9358,terra1ywcalptz89ud9f93fkyf5d82jxj234y6990njw,,0,5103,0,0,0,8223680,8228783,0,8228783,,
9359,terra1ywdm4wf0pnlpd4nna2k00hqv9k3sj32ma22dj7,,2701584047,0,0,0,0,0,2701584047,2984902860,15335610551,,
9360,terra1ywhaazep2t20ttl2gtt3hsd8tdpwwf34vktnfp,,20,0,0,0,0,0,20,0,20,,
9361,terra1ywlexfcmerdg4dh5z0lg7e0yje8x9av752ul2h,,87590,0,0,0,0,0,87590,0,87590,,
9362,terra1ywm3rl4605gjxq747rmtx8vd6qx6thmz82t35m,,710,0,0,0,0,0,710,0,710,,
9363,terra1yws9dl7enej3eejaqj9w90d76y6dj0gprd64k8,,0,1637282138,0,0,0,0,1637282138,3049,1637295043,,
9364,terra1ywtfmcmtclfu3e3xe3ec2zj36cx96x6npxmfqe,,0,0,0,0,0,239427886,239427886,0,239427886,,
9365,terra1yx2592mxr8mm80p37ynfxaz2ydhkvk05u39p9h,,0,11680,0,0,0,0,11680,51150,228180,,
9366,terra1yx42clz0rdsz7twcl459wzc8p06h0qr3mx6ax9,,17498624,0,0,0,0,0,17498624,0,17498624,,
9367,terra1yx4pn65r38ahyzeffh6afc8j066u6r7nk6jvd7,,341708903,0,0,0,0,0,341708903,0,341708903,,
9368,terra1yx5a7pc8wk3estx5ysfzdlhcwd9ukqg9aq4pgh,,0,0,0,0,0,0,0,0,0,,
9369,terra1yxlt0zn2us6htldy2kchzmdzwzsxrhcl8kf7sl,,30,0,0,0,0,0,30,13986173,59198499,,
9370,terra1yxmz0r83s3xy9jn5ywx39xsxtm75esfx896lhr,,9047801,0,0,0,0,0,9047801,0,9047801,,
9371,terra1yxp4uzclssj6yq97t3gg07m6vqham07h3zmuym,,0,0,0,0,0,0,0,0,0,,
9372,terra1yxrc3thta0jqrg7ymgz33pq48e6pdrrck3hd73,,6310,0,0,0,0,191845641,191851951,192256459,1005604797,,
9373,terra1yxwq9vm4f3nl559fdc5wddr5lz2855jumpwlvl,,0,0,0,0,0,232331640,232331640,1486314,238622676,,
9374,terra1yxxmhmpmr3gvf04zpwwz2v4mfltqra8samqvn2,,3320,355243659,0,0,0,0,355246979,"2570,000001",355257857,,
9375,terra1yy5udjfd7yg7jnj406q2fr77waepug7dxm04ux,,5002752,0,0,0,0,0,5002752,0,5002752,,
9376,terra1yy6f78ua5q86447ezv5qjsp8w8vu0834c9amq8,,0,0,0,0,0,79543562,79543562,0,79543562,,
9377,terra1yycfxnp27rfngssn86dg2kwpsuejrsecyl32t2,,0,0,0,0,0,0,0,0,0,,
9378,terra1yydcel7lz3883cjm2ujtwxc9mn4zdqcx6txvjs,,254740,0,0,0,0,0,254740,116148528,491869928,,
9379,terra1yyfn3dp2alqy23jakhfp4gf2gfgg9g2zf4zmwh,,46850,0,0,0,0,0,46850,4056,64018,,
9380,terra1yyg2x4jauwgx2w4js9c3te44pvfemuzzk24ece,,0,1000,0,0,0,"4520,000001",5520,0,5520,,
9381,terra1yyp3e954457da6aghdrjzhg7cu5k0uc8xjw595,,0,0,0,0,0,0,0,0,0,,
9382,terra1yyrypk3lqyn3am88uwmkgl2vnvauur93k52c58,,3968996,0,0,0,0,0,3968996,0,3968996,,
9383,terra1yyt5jdqykqxmthfgvmuf9jzry4nmztqu9a7pd6,,14213276,0,0,0,0,0,14213276,1884893297,7992292627,,
9384,terra1yz06u7stj90nwj7jr42ddknuk8k0v79l3kcwz5,,70,0,0,0,0,0,70,0,70,,
9385,terra1yz4uv4r3xaldeym7q6jfpsezzpdl72gplz3ruu,,757820,0,0,0,0,0,757820,0,757820,,
9386,terra1yzaspr7qtqdnu0wfftmxlw3y8zslju7dg34ael,,1305427062,0,0,0,0,0,1305427062,0,1305427062,,
9387,terra1yzfgmrm82pmhnvr9fqmh2qf3k3clkxg5spky7d,,6583879,0,0,0,0,0,6583879,0,6583879,,
9388,terra1yzm70a8fulmru6x3gwgsg5tmxke2z2230a7vj0,,0,0,0,0,0,662322960,662322960,0,662322960,,
9389,terra1yzntgh2mxxswqg47vyxyrf8zqrvzxwps6jlkal,,0,599043260,0,0,0,0,599043260,0,599043260,,
9390,terra1yzpvlqh8g9v2046we2z7pkg7zclvy4m3v8kpg9,,92558922,0,0,0,0,0,92558922,96154419,499546196,,
9391,terra1yzydp8xux2lmg6ewtjn78za5elanfq703q2qw7,,0,1006109251,0,0,0,0,1006109251,0,1006109251,,
9392,terra1z02yeq7jyqy4wxl2vseqeuqq35a0pas0q3zutt,,0,918481692,0,0,0,0,918481692,0,918481692,,
9393,terra1z066lxy9ydg3ln8lq778fa77a0fkzd3l8q5twe,,0,0,0,0,0,0,0,592641418,2508439213,,
9394,terra1z0a8q9z4thtmqya2w326442ekp2ld544d5zqnw,,0,34160,0,0,0,0,34160,288947310,1223044805,,
9395,terra1z0ajhf8a4pwpqveux7el245z9zvy8gy6m3hr6j,,875021201,0,0,0,0,0,875021201,0,875021201,,
9396,terra1z0fyvs7tsk2uc23fas4u4823rf8j8389sdq4s3,,70,0,0,0,0,0,70,0,70,,
9397,terra1z0jnmph2cyrauamrz8t9ff8cvjf0vyv7ulyz5p,,0,0,0,0,0,0,0,0,0,,
9398,terra1z0q7qcss8zwuerdlua4fak4lhc9qnrp9pewrre,,0,0,0,0,0,0,0,0,0,,
9399,terra1z0us9ctj5reygyywezpn4s3q6dllee2mx4snvm,,0,0,0,0,0,0,0,1107,4686,,
9400,terra1z0wmhx3rjs8y9fjdpgaqe378cwhzdv4799qaa3,,946536676,0,0,0,0,386130,946922806,0,946922806,,
9401,terra1z0ynjclhr6xcprmr246jylemfvpe2t8frd7a0p,,0,0,0,0,0,0,0,0,0,,
9402,terra1z20l8ww9y5vh6cyu708qags0zcw0tfyfl9rpjk,,0,0,0,0,0,0,0,757830,3207623,,
9403,terra1z22s6rzvx8rj8deayspjv8pjn6v4wgdalu5nw8,,0,0,0,0,0,4043,4043,1012,8326,,
9404,terra1z2ajxuat5husg2nq3q07r8nf3vc6sa9uwlz37g,,2967651,0,0,0,0,0,2967651,0,2967651,,
9405,terra1z2xjxx3xz7ur7wd7djvfrm5hn0wqs06mt5kuvm,,2623156646,0,0,0,0,0,2623156646,0,2623156646,,
9406,terra1z34jtm74a4ngea3rpxusmt4sqq8rlgcuwnt24w,,0,25364378,0,0,0,0,25364378,0,25364378,,
9407,terra1z39ulgp9hh4nxf3gz6nktkc9muufr86m46y7kl,,0,67211696,0,0,0,0,67211696,0,67211696,,
9408,terra1z3f3007ejc49096ce2yfcpz6e0gud5jtrxmtwk,,0,0,0,0,0,0,0,0,0,,
9409,terra1z3jahqlvf8sp0vtcj8cx49cevw8gauj59wx7ur,,70,0,0,0,0,0,70,0,70,,
9410,terra1z3qanmud8c2kmdzujy5sln2d9npqjppa7cnqdc,,2430,0,0,0,0,0,2430,0,2430,,
9411,terra1z3sqgmw344f9zkng280gh6x8gz8y6qyw7f83ee,,3120,118714100,0,0,0,0,118717220,1218316757,5275416423,,
9412,terra1z3vuhqw23ydxsdt8ssym58jd68ud7myf9chmaa,,0,0,0,0,0,700991742,700991742,0,700991742,,
9413,terra1z4372enan8n0kyneh5cqg7u2ydvwu24r8h87c9,,0,0,0,0,0,0,0,64638,273590,,
9414,terra1z43ptner54dvkpz2cuyu67wjkzmqzs2kq8wsu5,,0,0,0,0,0,0,0,0,0,,
9415,terra1z4ahqja277s6ah6q049dlx9ssdh94wzv4hp6xn,,0,0,0,0,0,0,0,0,0,,
9416,terra1z4fpkru4xkjznn9rfvq86qvedtpq5748r625vw,,0,0,0,0,0,872854726,872854726,0,872854726,,
9417,terra1z4xp0qte822lffnvyw92p7s5r77urs20pg7j0t,,0,0,0,0,3682893200,0,3682893200,0,3682893200,,
9418,terra1z4xv76f7xcvjgn44hmy5uus6zzck0w5c7x4gjs,,0,145091720,0,0,0,211879795,356971515,0,356971515,,
9419,terra1z59kgh0gjaxtpt7hxahdqylytwtgtq6v2utdqk,,0,0,0,0,0,"9410,000001",9410,0,9410,,
9420,terra1z5ayt5vu952mg2c38lmnp6mg9vm4s2xy3e2v7e,,329670,0,0,0,0,0,329670,0,329670,,
9421,terra1z5m9qx5p4z4qqqzdzxp4l0jg7k2k9zy46l8lqa,,1660495200,251560,0,0,0,0,1660746760,1149,1660751623,,
9422,terra1z5vh085dqlfymvaejt7h2xusatayf8xec5hah7,,1088780000,0,0,1133220000,0,0,2222000000,0,2222000000,,
9423,terra1z60l5sfm3yycvpsqehtqv8rmm4mv3yhahgy8mz,,0,0,0,0,0,35380,35380,0,35380,,
9424,terra1z626cdlct2f67g9rxwu9qlrgw834vtmpsn42xj,,58770,0,0,0,0,0,58770,0,58770,,
9425,terra1z64u9rmsyvsy0vjucqweq23270lmfy3adzrxgc,,3228030909,0,0,0,0,0,3228030909,0,3228030909,,
9426,terra1z66y9672ulh5hhaa9t5nwhgra8retxn29wkcad,,0,0,0,0,0,0,0,0,0,,
9427,terra1z68x7shu4uz5c0w7mz9geew8cj39dedtlhzxtj,,513835734,0,0,0,0,0,513835734,0,513835734,,
9428,terra1z68ydtva3xezrvfgp84pnnzlfencytec3zy8l2,,0,0,0,0,0,0,0,95362822,403636727,,
9429,terra1z6mpa4yqcvgxjsupj377fugjnktjzjttjryhvw,,0,0,0,0,0,97820904,97820904,0,97820904,,
9430,terra1z6t5njseuyww3kkuztmlqv95555j8ynmug2ww8,,0,0,0,0,0,0,0,0,0,,
