LP,Address,Description,TLAND balance,TLAND staked,Advisors Vesting,Private Vesting,Subme Vesting,STT Vesting,TLAND SUM,LP SUM (balance + staked),TLAND TOTAL,,LP MULTIPLIER
1,terra10054v45pshdxtjdtumtrsrrrg2me42andv9nu0,,0,0,0,0,0,1369480,1369480,0,1369480,,"4,232642433"
2,terra1005le4argrgh0nnx7ewz3xwq38rjc2368rsf5r,,3725164,0,0,0,0,0,3725164,0,3725164,,
3,terra100d87dhfca4x023yphu0qfslwnn0vmhgxqpdy3,,0,6419526186,0,0,0,0,6419526186,294645680,7666655994,,
5,terra100npfzsvpcpy55z83t0w9kzsg09uxrydru8nd3,,0,0,0,0,0,1278311926,1278311926,0,1278311926,,
6,terra100pmvhuzgxjgvgal0raxfxn4nfz405rrpgnw5y,,0,0,0,0,0,1071,1071,0,1071,,
7,terra100tv30cgut095sgkutahquk7z7wxn3jpdcztka,,0,396154638,0,0,0,0,396154638,0,396154638,,
8,terra100ud8vyv22q5h66267vahv3p3jf37ck99tjtun,,29233578,0,0,0,0,0,29233578,0,29233578,,
9,terra1024d90q84wax4k6l5wvya5shzn49fnnxa64c95,,2592176957,5946946190,0,0,0,1350,8539124497,0,8539124497,,
10,terra1024u9zph7mrn8f6waj4u0cn5868qpvr4hpgdrr,,0,0,0,0,0,0,0,0,0,,
11,terra102599e8lpk8652eklhqmkynr9pt9vz5c6spkr8,,204901263,0,0,0,0,0,204901263,0,204901263,,
12,terra1026hc5zj3jrsxhzc206gek6cthpgcre6z0enn5,,17750,0,0,0,0,0,17750,0,17750,,
13,terra102fl2vzzw74zcwe03ykq6pn2yx5ft5e67wuv6z,,8044330,0,0,0,0,0,8044330,0,8044330,,
14,terra102hx056kcfdxp5rtwwk7u2ku0lkvrdyvv3msyh,,0,0,0,0,0,0,0,0,0,,
15,terra102ly9mfvdayyh4c3m54tkrcm4qzzwy6lcefsph,,0,0,0,0,0,0,0,0,0,,
16,terra102qk86ns5qlya9vxnq9y49yuqex0hz0yfrj54c,,4651384,0,0,0,0,0,4651384,0,4651384,,
17,terra102tfy52jwy5cv3ttqww2rr35huat62g9fy3x4y,,415522070,0,0,0,1106996800,0,1522518870,9182006266,40386668212,,
18,terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp,,1221005761,721334430,0,0,0,0,1942340191,5196178990,23935907874,,
19,terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf,,0,0,0,0,0,7039,7039,0,7039,,
20,terra102y2mp74pfsg4el0etfntz3rp2qzhylwd7976h,,0,0,0,0,0,0,0,0,0,,
21,terra10323w7lzvtrljn0f05d5pzh4zl6q50aedvx6cp,,245511311,0,0,0,0,0,245511311,0,245511311,,
22,terra10343dlsf3hzy7jzfe7etha9tltr53cly6vrskl,,0,0,0,0,0,0,0,0,0,,
23,terra103839f0jpjdhxn7ldeh8dyty7vxt9l6lxs5j4t,,0,0,0,6407,0,0,6407,0,6407,,
24,terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch,,0,0,0,0,0,0,0,0,0,,
25,terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,,0,0,0,0,0,3068,3068,0,3068,,
26,terra103aq4qp99y4vea6e73ll23ykuten4ksgz34k5n,,9023002,0,0,0,0,0,9023002,0,9023002,,
27,terra103c2juwghawc5yyefg4tlf2xlu9mqklp624mkj,,356171434,0,0,0,0,0,356171434,0,356171434,,
28,terra103cq3acjw0u0dxmwztnpel6fap2e92phd9tsp3,,180370416,0,0,0,0,0,180370416,0,180370416,,
29,terra103pk7z8p4sx64l4f63p87wvkq5sc9xzlup5558,,0,1950,0,0,0,0,1950,0,1950,,
30,terra103qss8c0vel5qw9zynmjvrr6d62j44w492ez74,,0,0,0,0,0,0,0,0,0,,
31,terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc,,0,9279978,0,0,0,0,9279978,0,9279978,,
32,terra103wex9mvl4z66j82mggcsgqmp0zzgfvdw4yhjr,,0,0,0,0,0,0,0,0,0,,
33,terra10408tl49eq7upcx4cy2aql2g3k6eemdhnsha5m,,0,0,0,0,0,0,0,0,0,,
34,terra1044h572askmmmv4v4ljkw802lqhet3c5xtm7e5,,0,10085122027,0,0,0,0,10085122027,24340,10085225050,,
35,terra104705qnurtmqedsvhh6h0vktjq9eesqgsh9r84,,10,0,0,0,0,0,10,0,10,,
36,terra104lj35vs5p9ygzmar8r3fes9r0dzaqr3xnkaw6,,0,0,0,0,0,0,0,0,0,,
37,terra104m0h2shkxwa7e42s4eccysw82zf57a25k68h0,,0,365873860,0,0,0,0,365873860,1000781775,4601825267,,
38,terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv,,0,0,0,0,0,0,0,499090526,2112471738,,
39,terra104qrqgvedudnskn7h2fmz78cx2j6u3zew7jzdg,,0,0,0,0,0,25698590,25698590,0,25698590,,
40,terra1052au6cmuq0raedls4nac43vwac8w42wrhasp5,,0,0,0,4796680000,0,0,4796680000,643356470,7519777894,,
41,terra105366vajqnfpx0e9a8573ehus9daw7yr7kn5qq,,0,0,0,0,0,0,0,0,0,,
42,terra105723g664j6lmnhtlcatuggq79wv7rajmzpdaw,,2103299035,0,0,0,0,0,2103299035,0,2103299035,,
43,terra105878rnm20fzm6q80tgkncxtcs5zpxdskj5985,,20,0,0,0,0,0,20,0,20,,
44,terra1059wmnl742gysnkl8rn3nfan7ln0e933qxcv4x,,48149527,0,0,0,0,0,48149527,4781250,68386849,,
45,terra105dh3cn0ga7297alnuqtp67yymqw26nxesnapy,,0,0,0,0,0,1681750,1681750,0,1681750,,
46,terra105jq8c946et7wss2qkscaagg96pf78zux8e8la,,0,0,0,0,0,917132518,917132518,0,917132518,,
47,terra105lw9q5c82d3zd08v9uqeda9r9ptpzpp8mrnlg,,0,38542452,0,0,0,0,38542452,13213340,94469796,,
48,terra105mndeaenfu8e6exmarvw3q07leq2fuplclv8v,,200328988631,0,0,0,0,0,200328988631,0,200328988631,,
49,terra105nqhzxxg4mwfk765fwrw3lssw2chdn6xdzdlx,,0,995100618,0,0,0,"2430,000001",995103048,0,995103048,,
50,terra105u4s4dwgczgfseeurrcgfzr8g7x4h02juerjs,,0,0,0,0,0,2910,2910,0,2910,,
51,terra105xzkrjpazqj5x6aqh68qzfknh4mvvejdw2t8p,,0,0,0,0,0,0,0,2779562,11764892,,
52,terra10608z0q88j6k0xxwew7hh5eg8hla0hxch3cf6x,,0,0,0,0,0,0,0,0,0,,
53,terra106gp9j3067qn0r8luzdnq50c04qkuj9atwu57p,,66910,0,0,0,0,0,66910,0,66910,,
54,terra106lgxjvzhe6ch24xhkwjyketf3fryw582jd4t6,,860,0,0,0,0,0,860,0,860,,
55,terra106tu3ath9r8rrfkyj45rrlhpq2tcz9gm3me2a0,,2405840171,1824326799,0,0,0,271652958,4501819928,0,4501819928,,
56,terra106vvdwsuu4adtam7kutzegqks2g8qz3uuwypky,,0,0,0,0,0,0,0,60409408,255691424,,
57,terra106zjups7kk5zmcf3tkwdkpc9ydzks0vsk96znm,,0,0,0,0,0,0,0,0,0,,
58,terra106zpm70p68aeuzll7n7zz5er4qu90s97nj0xvu,,148201890,0,0,0,0,0,148201890,0,148201890,,
59,terra1070sh5j4tzz3gupfet4mm5vdjpkyfgwn4g3638,,0,0,0,0,0,0,0,0,0,,
60,terra1070suq8hh0ljxz3neacwgww3h3t2gjycxgzmq4,,9194940000,0,0,26118960000,0,0,35313900000,0,35313900000,,
61,terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4,,0,0,0,0,0,0,0,0,0,,
62,terra1074hkgzt3e5c8e464nmlk49q2g5jy6086d0zhh,,0,0,0,0,0,"6130,000001",6130,0,6130,,
63,terra1077tw0k9t6f7l9973sgjr273hfjhms8nznzkg3,,0,0,0,15555400000,0,0,15555400000,0,15555400000,,
64,terra1077vj52an8c3cjr4lv348k9hthjeksehp70pt7,,0,3400110805,0,0,0,131840,3400242645,0,3400242645,,
65,terra10797xl48yrwenpmjuetk9hsu6946etzzlfyapj,,6495895,0,0,0,0,0,6495895,0,6495895,,
66,terra107982u9v0dsmgwmkvat8r5u9gahuj9neav3q8k,,0,1103046934,0,0,0,0,1103046934,0,1103046934,,
67,terra107c0hunpms5mpnyf8cjja5q9jemwr42fvn880y,,0,0,0,0,0,0,0,0,0,,
68,terra107ce4sgjxcg5csgy0q8npv9pytsk93502hg8g4,,0,0,0,0,0,0,0,0,0,,
69,terra107fzu22nrr92auedushpnesg398l44u8lnh9xm,,202403772,0,0,0,0,0,202403772,0,202403772,,
70,terra107nv9ctle4tdtejz62qeyqw8dzhthh3mxepkjy,,0,0,0,0,0,0,0,0,0,,
71,terra107sjh77fwzsvch4ra9c7fhlgrvgsz5hvnpqwvs,,0,0,0,0,0,1635320800,1635320800,0,1635320800,,
72,terra1087r8d244pl4aqd8tqgt68y0acx2jqm824a4ns,,0,0,0,0,0,9035,9035,0,9035,,
73,terra1088608fkveg33zql6ghgz6n29f8z3d7vdwaws6,,574786800,0,0,0,0,0,574786800,0,574786800,,
74,terra1088g522fjmrtz2q5tg4cy0m9jmjqqjwypn6sqd,,0,18159413,0,0,0,0,18159413,0,18159413,,
75,terra108gy2rzhx27jj96argmgpesvlj9ur6k8akpdk6,,60,633367678,0,0,0,93953710,727321448,0,727321448,,
76,terra108qs9hunprrc6dadnk0slcyue6lznc0z4458p4,,7330,0,0,0,0,0,7330,0,7330,,
77,terra108ugdr0vmqfthhr80ejw4vwaxx0g3czfeyr77z,,7137643,0,0,0,0,0,7137643,4064047,24339301,,
78,terra1090428v89m5nq6xqq6e338yajex3d8qns4wyth,,0,0,0,0,0,0,0,0,0,,
79,terra109cj7tufqzwpuj8pj54m9s2r6l5lgw8hhx8nhg,,466421385,0,0,0,0,0,466421385,97441496,878856396,,
80,terra109ckpxqttn00ry9g6rnh06mc2hfzej02lkskdd,,6193643,0,0,0,0,0,6193643,0,6193643,,
81,terra109dp2v5fcncqfpdwffvdaa6fqzgvkdex85q23d,,2086263200,0,0,0,1192150400,0,3278413600,0,3278413600,,
82,terra109f23dymn9md92063gcuzzzsn575l6ly8t37a8,,0,163494383,0,0,0,0,163494383,0,163494383,,
83,terra109j3nv7gm738ruefsgme68ptp507sga7q8zu6g,,0,0,0,0,0,135310,135310,0,135310,,
84,terra109kjy26hf5sfn96w3sgt9mqayyl0hfw9kypkfd,,0,0,0,0,0,2321744,2321744,0,2321744,,
85,terra109mjlzrgvtmllphfedm7v8wy7yvgr5e0zkukra,,0,17193441,0,0,0,0,17193441,0,17193441,,
86,terra109nnhth6upan89q6rn4j60qyf9r45g640lxgdm,,0,0,0,0,0,0,0,0,0,,
87,terra109qrkvk2hgzmq6r64agwzvg87lh6dgvs97xv49,,0,0,0,0,574786800,0,574786800,0,574786800,,
88,terra109qwwh780rw3ereu3rzr6k2v4dxgcp5346er78,,7398949,0,0,0,0,0,7398949,0,7398949,,
89,terra109r3e75xk36skp7fwegavkmumsnqwkr5jt22q5,,1435030469,2147942177,0,0,1617918400,731720,5201622766,491562678,7282231815,,
90,terra109u4tyc8tqyhhujx0sermhv8njff3d94cmz26x,,0,0,0,0,0,0,0,136599,578175,,
91,terra109xaxvp6p38sgrm8fzxkdkhnvazm8am2krmaaq,,4215809507,5000000000,0,0,0,0,9215809507,0,9215809507,,
92,terra109ysshtyxc4dqkwczlxj4a0fw7legrprjchew5,,0,1510,0,0,0,0,1510,0,1510,,
93,terra10aa4fgk45h4uwrhhhkp8n0y2w8dfcl03utfeyl,,0,0,0,0,0,0,0,0,0,,
94,terra10ac9hmx3pajtrwcpt4g69ndd5jplj63wekr4ks,,11592124,0,0,0,0,0,11592124,0,11592124,,
95,terra10akduedru93mhp05nxhlha9nv0nhp83e36rxdm,,0,982156221,0,0,0,0,982156221,0,982156221,,
96,terra10amw0vfemxhvs6n2awn0elj4rhktwwpldfz8w2,,480,0,0,0,0,0,480,0,480,,
97,terra10ap8r52e5yvgsuw22qf37zydly25vkxmhr2ws6,,163156673,0,0,0,0,0,163156673,0,163156673,,
98,terra10apc83desxvkjpnu4ar3wme94gsqr0h205jchz,,3917172,0,0,0,0,0,3917172,0,3917172,,
99,terra10aplexn2lyprkjprkg9e57q5g57qzwg8psk7yq,,40,0,0,0,0,0,40,0,40,,
100,terra10avwm05q6vx46w7w34qytsafesy9wypn5m422m,,0,0,0,0,0,0,0,0,0,,
101,terra10c4rsmgtl6hrkh9lft974fs5fqz8tlwr6s44qv,,108548110,0,0,0,0,0,108548110,0,108548110,,
102,terra10clzxga2qhkykpmf8ljqvqv442hcgap5wvucxg,,1300000,1014,0,0,0,0,1301014,0,1301014,,
103,terra10cn2q8qvd2fllwxtt4rk0wey8vksz4qt55g404,,0,0,0,0,0,0,0,0,0,,
104,terra10cppjvecq6yxgzqzxs9z86nvck2y8jp6ra3mdr,,0,0,0,0,0,0,0,0,0,,
105,terra10crhspa5nuzc6380zagm9sjlfyq35jxjjemc8z,,3881273291,0,0,25000200000,0,0,28881473291,0,28881473291,,
106,terra10cuwcn33et4tdteeykqzje2u9g0gs8lnf0hdzj,,0,0,0,0,0,0,0,0,0,,
107,terra10d2yfvmypaf48svyxme8fv8rsg3zlt28m6x806,,3200138312,0,0,0,0,0,3200138312,0,3200138312,,
108,terra10d498r7lef4lh9qdzgfwf9e4q6rlkyxuj7hyyw,,0,0,0,0,0,0,0,0,0,,
109,terra10d6ur65mlfcrw8py6m5yp9k63x63d695pu32mk,,60,0,0,0,0,0,60,0,60,,
110,terra10d947wn4z7wynznqr040m4nwhng70x8k8xpnn7,,7030216,0,0,0,0,0,7030216,0,7030216,,
111,terra10dguew8j2rfuk97prgzg87peeyfzkpqlskeshh,,0,0,0,0,0,0,0,0,0,,
112,terra10dtjex8v70cc57v4crxnwd5er9vmx3rm7hmenp,,0,0,0,0,0,9607,9607,0,9607,,
113,terra10e2gw4cl6zudr7z4pegcad4jnkcyam6fqyymc7,,0,0,0,0,106442000,0,106442000,0,106442000,,
114,terra10e2pnppwh7weqqsjyhymewcuklgx04w89tm3y4,,10,0,0,0,0,0,10,0,10,,
115,terra10e9vr7s8u998pk73jauv2eqh6qf7t8mm2xj9fn,,0,0,0,0,0,227582265,227582265,268883123,1365668381,,
116,terra10ecduyg0gvkrmw20evwly79rnxryq5fctgz4zf,,13984820,0,0,0,0,0,13984820,0,13984820,,
117,terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3,,0,0,0,0,0,0,0,0,0,,
118,terra10etk62f7epv4r458u4ep7v85waa4z9w8puxha5,,166798980,21499671534,0,0,0,0,21666470514,3656364796,37142555300,,
119,terra10eujaum8lauqgq4r0zzce7w0r7yjde88kfflq5,,0,0,0,0,0,0,0,0,0,,
120,terra10eyknucyf0l0gw0fa0pfll8eghyxl4jg4mwv4p,,100000000,0,0,0,0,0,100000000,0,100000000,,
121,terra10f079nvs8pmke0kkw5dffql69adznmjq0qtjrp,,0,0,0,0,0,0,0,0,0,,
122,terra10f3quq282kp2d2505e3rsx8ujj2cdw8w6p8ew7,,0,71540808,0,0,0,0,71540808,58239934,318049624,,
123,terra10f3xmh9g2esasz6h9xkmgkhezvtf8dv0hrg8u3,,50,0,0,0,0,0,50,0,50,,
124,terra10f650cpjk4gdfh9d8t8y6jzkxd4zuret2y6wf0,,2430,0,0,0,0,0,2430,0,2430,,
125,terra10facy7vmjc64uf5gqfvxzwgj5knvylw5k9uv7g,,0,1309,0,0,0,474129676,474130985,623415243,3112824796,,
126,terra10fcle5uttxvhygrathegn3fd0rvjzaz2x8efez,,0,0,0,0,0,0,0,0,0,,
127,terra10fh4yugfcssjn0u9q75xvzun0uxa7a2a8n942p,,0,6629738939,0,0,0,0,6629738939,1337229771,12289754410,,
128,terra10fj6wl2rarupyxj9n8u5sex20te69e32nn266q,,0,31840,0,0,0,0,31840,0,31840,,
129,terra10fspxwvad4hwdfpyqauey0d8lptp3nk6rprh9g,,0,0,0,0,0,0,0,0,0,,
130,terra10fupmf3pz8svf9gn9ns3sycv952l42zpp7cpya,,22200787,0,0,0,0,0,22200787,0,22200787,,
131,terra10fy526znaynm7954kt6303lxnf4tsx3nw5492m,,0,0,0,0,0,0,0,0,0,,
132,terra10g2mymej5g33hfdxp0cf6gy8ap93kz9mq3zcsq,,80268362406,0,0,0,298037600,0,80566400006,238260,80567408475,,
133,terra10g6jammvsjmhnuk9qcrdqfruuupu92r82rm7j5,,0,0,0,0,0,1027088107,1027088107,0,1027088107,,
134,terra10gd60hv9wtu9pl5x78psme804zazzmsckknwuq,,0,41440,0,0,0,0,41440,0,41440,,
135,terra10gkcsphgk4a4d97f9v6znr7zqcmrycq4rwzyr6,,0,13316951,0,0,0,0,13316951,1410,13322919,,
136,terra10gnpknvp5ewrt8ahee6e0ryee7l3kwpmtnq5yu,,0,0,0,0,0,0,0,680034,2878341,,
137,terra10gp8mavx0nk93y3twezrnadr6tprrc8yp548e7,,0,0,0,0,0,0,0,0,0,,
138,terra10gyadcz6clywx6q8agxr6dqs8pvd448vfc3t2s,,56333004,0,0,0,0,0,56333004,0,56333004,,
139,terra10gzgs5dldwk6nxqcdp639f9amyvtzt4teu533g,,0,537137840,0,0,0,806440745,1343578585,0,1343578585,,
140,terra10h38tj53dcznsxt2nl6vle98tcwujsenh6se9f,,210,0,0,0,0,0,210,0,210,,
141,terra10h6l3u55825yy0l0ujs0y2fe9udte3wsydh6ts,,4533352,0,0,0,0,0,4533352,0,4533352,,
142,terra10h6qh5h6f5raz7hxzjykc2pcgmu29wkz4gnnex,,7654815,0,0,0,0,0,7654815,0,7654815,,
143,terra10hcvzau80fwfsl3p9s024cfd3vvmsn9gh5u6a0,,0,0,0,0,0,384321763,384321763,0,384321763,,
144,terra10heqlv8vq6rafl4n5ppeyrp2atq6wmm7txqf2d,,4000000,0,0,0,0,0,4000000,0,4000000,,
145,terra10hgjpaqpf5er90rd2cqktvjav555hpeljg5t2e,,0,2635770,0,0,0,0,2635770,0,2635770,,
146,terra10hjy6plspq9fjtvkpnafns3shfvrxvald87grn,,0,17518126,0,0,0,0,17518126,2959128,30043057,,
147,terra10hmqhxwtym0tarn7glcngk7va44md7yj3aj4vj,,0,0,0,0,0,3478719771,3478719771,0,3478719771,,
148,terra10hryzctz898clsrm802kknyj4l6kayuaelr0lu,,0,0,0,0,0,0,0,0,0,,
149,terra10hx3yhmt3kdv4z3cz5znk9j2t8dy5gv2tgw9pp,,47263547,0,0,0,0,0,47263547,0,47263547,,
150,terra10hxvntznacaaeup6vhc73ssgutpkwf8ksakjt4,,0,0,0,0,0,0,0,0,0,,
151,terra10j4cp0mz9y6t4vwyz9c958f63enxnceusr9z5u,,0,0,0,0,0,0,0,0,0,,
152,terra10j65tl4tcftq98w6c9zs8eksgel2tu87vslld4,,0,0,0,0,0,0,0,0,0,,
153,terra10j7md3zazwpmuzzmmuxhpuskq9gl5nu5x2zdy7,,0,0,0,0,0,0,0,0,0,,
154,terra10ja5cguysvsyza9zdd5zsvlwx0dwe9yr9le356,,0,0,0,0,0,40400102,40400102,1018,40404411,,
155,terra10jcq6yea42j3uphxa5d63wrweyy2wxu4pyyp65,,0,483210,0,0,0,"3220,000001",486430,453062020,1918135961,,
156,terra10jh0cfffmaxkl5dx4nmyl5hcrqw72lwj34uzkt,,0,1077088757,0,0,0,0,1077088757,0,1077088757,,
157,terra10jhal9rpn42nmfttc90zt8g979hzh2rfp5jyku,,25140,0,0,0,0,0,25140,1282716376,5429304903,,
158,terra10jj7zrrf7vlkluxzh4e0k3c8lj8g4wc9qny9ja,,99522418,0,0,0,0,0,99522418,0,99522418,,
159,terra10jjl433ar2lq532qlap6tdqyv7naqp2p0tyczg,,45650,0,0,0,0,0,45650,0,45650,,
160,terra10jp6cmltkag5wdrrwk0yjqqwzwarl64l3dx63g,,790,0,0,0,0,208269010,208269800,0,208269800,,
161,terra10jpej36snhc8gjykqmz48z3cgnpd2ly4xrmgru,,130,0,0,0,0,0,130,16915310,71596589,,
162,terra10jpjmh4vwfmzmkjh5ld7cdkh4f94nqsvz0ky7q,,0,0,0,0,0,0,0,0,0,,
163,terra10jrq4ttt5d8ph70ukntqr0djgnuc5rkm7nd02c,,0,0,0,0,0,0,0,0,0,,
164,terra10jz7spjk0lwp7llqlh5kh2jnc0z03ncspj85pj,,0,0,0,0,0,0,0,0,0,,
165,terra10k29sv63uyhlcgyvetqnava8r9mx7847f83z6w,,569892237,0,0,0,0,"3280,000001",569895517,0,569895517,,
166,terra10k367wfzuzedmvhfv7cyyyhypjkmwck6jgzug5,,67249559,0,0,0,0,0,67249559,0,67249559,,
167,terra10k3z3ckzmmy3d883rfdk3qzlpl9mstsjqw22rj,,461734360,0,0,0,0,0,461734360,0,461734360,,
168,terra10k7f90ukzyj9kmppt89zxzmz458heg3emgpxeg,,0,0,0,0,0,0,0,0,0,,
169,terra10kafxgahghrmaxatrad9jasq6kw58k7agz3245,,0,0,0,0,0,0,0,0,0,,
170,terra10kdrq3c629twvkhlxwymyez79prkyjk7w5zdgd,,0,0,0,0,0,0,0,0,0,,
171,terra10kfxgx0f3n8ajx8pj6hvrnlre7pk7awtdlfteq,,0,51280,0,0,0,0,51280,1602503466,6782875449,,
172,terra10kjtfk97jg0eue3z9mafquffe5q4ty8q7m9wdd,,0,0,0,0,0,0,0,0,0,,
173,terra10kjzmmymfz5z6j7spnpy9jacz3nnd0j9eh70kw,,0,0,0,41851810000,0,0,41851810000,3000000000,54549737299,,
174,terra10krpx786styrfd7egy2rh39mue4dthg4ngyuta,,0,0,0,0,0,0,0,12360410,52317196,,
175,terra10kwwrcvzwwut0lstwd48nkxg5674dz9u4m2n2v,,48189594,0,0,0,0,0,48189594,4359410,66641418,,
176,terra10ky5mxda0vj5qglqtmfh6s3vgfqyz45uyp289l,,157115222,0,0,0,0,0,157115222,0,157115222,,
177,terra10kz0aj32qa2uevswtgc4uscqems092cwpgl6gl,,0,1428794868,0,0,0,2784822,1431579690,12867598,1486043631,,
178,terra10l2ckt4t0hgvxz3y547ej54ruhll7kqdkslx3e,,11747729,190000000,0,0,0,0,201747729,0,201747729,,
179,terra10lasvsr05huh7t793uqv52pul9w0zhwjjmptca,,0,0,0,0,0,0,0,0,0,,
180,terra10latqlq6x2925tl22r0lfxjt5pjg0zuvndqnas,,872616572,0,0,0,0,460050428,1332667000,0,1332667000,,
181,terra10laudl9ee368p6cm9h9dewaxqkf6n9fjqwyxvz,,0,0,0,0,0,0,0,0,0,,
182,terra10lfc8r50mxssczfhxs9m4w45hvamccy98etngs,,0,0,0,0,0,641292681,641292681,0,641292681,,
183,terra10lk2dkwvwk2mrna3xxrvvvulh9zyl99zpwgszh,,855566,0,0,0,0,0,855566,0,855566,,
184,terra10ll037vngkl2qqhd9fl2vqdaky3h3mn36fyf4g,,0,0,0,0,0,0,0,0,0,,
185,terra10lp5v7sqqfvyaq6ulccuz3y6fmt934tujq0kx4,,0,0,0,0,0,0,0,0,0,,
186,terra10lu50ffcdqmasuk22uzxg8u834redwycmlccxp,,184160,0,0,0,0,0,184160,0,184160,,
187,terra10lwmun98vpv9fuup2jnjvwp70a9778ra8tqjpm,,0,0,0,0,0,0,0,0,0,,
188,terra10lywjh9z9acz3ts4uewdndkzw3jza0fj2a8yzr,,234114741,0,0,0,0,691755,234806496,0,234806496,,
189,terra10lzkuwj2ne5gslsugxyfxh8vqpep7ujjflcwmf,,0,0,0,0,0,0,0,0,0,,
190,terra10m08w8ktu60gkpkzn040ncgux3u4n6evngp646,,20059223,0,0,0,0,0,20059223,0,20059223,,
191,terra10m395e2dhvptg6zvt0ymqf5gslmd6hwvuu4gxl,,0,933896418,0,0,0,223551,934119969,0,934119969,,
192,terra10m4qcepfwss5sg2586juseedk2x54l5rfunhrz,,87590,0,0,0,0,0,87590,0,87590,,
193,terra10m67zkssr3ydcf2xmsd49rv066ykgjjr8l84rk,,0,0,0,0,0,0,0,0,0,,
194,terra10m8yhmgtxauj3uac2mm3zhlxf8fp92gawt6qcw,,2590,0,0,0,0,0,2590,0,2590,,
195,terra10me0c8vuk49vvhc6fz5k97nypemwal8cey207u,,120,0,0,0,0,0,120,0,120,,
196,terra10mlyh4ygfrr0ltp93s9jrjlxqfkw4q8snzxv28,,0,0,0,0,0,0,0,0,0,,
197,terra10mqpx6ny9ac9akegh7uqvxgtjtn3wf25d8z4ay,,1684290,0,0,0,0,"4180,000001",1688470,0,1688470,,
198,terra10mx52q9ugplaq03xhvk5gyjndutzqjkdgpgr68,,0,0,0,0,0,3074,3074,66461,284380,,
199,terra10mxgt8z02m60tdym29k8xepsqgd8lee50h43z0,,0,0,0,0,0,0,0,0,0,,
200,terra10mxrkh5wd0qgmkqs20rexsjp42ewsw3ctmwjzf,,0,0,0,0,0,0,0,0,0,,
201,terra10my55ndyhpr7ww4r7hh4wyepdpzlxck7tj63m8,,259431594,0,0,0,0,1358035087,1617466681,0,1617466681,,
202,terra10n2ayqhw9f0gmf0guu32860lu6jl3vn9vmv3fm,,10,0,0,0,0,0,10,0,10,,
203,terra10nfkg38nsdpz7mh3awyxu6vxrrhdsqaq7m254t,,0,0,0,0,0,0,0,0,0,,
204,terra10nh4tppf3arx25q2ys50ehl886he8wn0r884q3,,0,0,0,0,0,826540,826540,0,826540,,
205,terra10nph2059v6p8vee2urcqccd2v6m6yxw9llxksu,,87590,0,0,0,0,0,87590,0,87590,,
206,terra10nu2a4qvy045jj4gy2tn2z49pnt3vw0qw8tats,,21680,0,0,0,0,0,21680,0,21680,,
207,terra10nv0wkhh9l8fc8jpne0gcg0aff3v3ck27qzlhj,,11655007,0,0,0,0,0,11655007,4755954,31785260,,
208,terra10nw0l9ssus9d2c089zlxdxwqxfxghdehc8n73z,,0,2043,0,0,0,0,2043,0,2043,,
209,terra10nwer94e5mqx6zqjhgpuk00r63q9cyc45e4x09,,0,0,0,0,0,3431821681,3431821681,0,3431821681,,
210,terra10nymdp5czfmvjyny0c90mnkj9a7kkz3qy8jcg9,,87590,0,0,0,0,0,87590,0,87590,,
211,terra10nz6q455cs4rwgzq7rl630a893j53n4zd3605t,,0,114500000,0,0,0,0,114500000,0,114500000,,
212,terra10nzhp6gvq99d6rkpms4nnzuvhfnhem40x7nk3c,,0,0,0,0,0,0,0,0,0,,
213,terra10p3v87cwdxnvz99xgq9enn29l43eqnhjxm9dlm,,0,0,0,0,0,16457135,16457135,4528487,35624601,,
214,terra10peh8cjc3yzfxncq9wmcp7nh4ply4lay84jnfl,,6774283,0,0,0,0,0,6774283,0,6774283,,
215,terra10pjxljlfggm98qfu85694gatjvu3dhsj60d9kd,,0,0,0,0,0,158204086,158204086,0,158204086,,
216,terra10ppp65gh2m9eujsgl0648w3p5dk7n9cvv8arha,,0,0,0,0,0,0,0,0,0,,
217,terra10psj62hfh6wqzw35reaxwkz4tnw5yajdjjrtnk,,0,0,0,0,0,0,0,0,0,,
218,terra10pt3ce8mq7drxwpglsp62efv03x7kypv5tajcd,,260,0,0,0,0,0,260,0,260,,
219,terra10q747sf0pj4nuup7zqh44gf6kunm3q3hcdav2u,,3789637,0,0,0,0,0,3789637,0,3789637,,
220,terra10q7dkpk59hpe923hq9s46qraeft428hm3da54e,,544683272,44160,0,0,0,0,544727432,244354938,1578994511,,
221,terra10qd8u99gu6azz9fa9zxdr7v4g05ad3x89jhef5,,0,0,0,0,0,0,0,0,0,,
222,terra10qdt964netzczs5hv34nctqfd5vv5q6muf3mmr,,0,0,0,0,0,0,0,0,0,,
223,terra10qe32mv90w9t0gvgn6vh74tpcuy6fsqhh3xtrf,,0,0,0,0,0,0,0,0,0,,
224,terra10qgf63ne7s45gr8jjrgvyfu7vx5nmxp4a49gp2,,0,0,0,0,0,0,0,6214431,26303464,,
